RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,churn_probability,predicted_churn,customer_id,segment,age,gender,city,branch_code,annual_income_inr,credit_score,tenure_months,num_products_held,products_held,is_digital_user,preferred_channel,relationship_manager,has_loan,has_credit_card,has_investments,churn_flag,avg_monthly_balance_inr_mean,avg_monthly_balance_inr_std,avg_monthly_balance_inr_min,avg_monthly_balance_inr_max,num_debit_txns_mean,num_debit_txns_sum,num_credit_txns_mean,num_credit_txns_sum,digital_logins_mean,digital_logins_sum,branch_visits_mean,branch_visits_sum,total_complaints,avg_nps,balance_trend_slope,recency_ratio,complaint_month_pct,login_trend_slope,segment_enc,gender_enc,city_enc,branch_code_enc,products_held_enc,preferred_channel_enc,cluster
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0.037211172,0,CUST000011,Affluent,35.0,F,Hyderabad,BR039,721832.0,666.0,89.0,1.0,Loan,1.0,Mobile,0.0,1.0,0.0,0.0,0.0,58399.33083333333,14325.441453907648,38938.57,81412.08,14.166666666666666,170.0,5.75,69.0,8.083333333333334,97.0,0.4166666666666667,5.0,0.0,7.75,363.9075874125873,1.2333740002858529,0.0,0.0594405594405594,0.0,0.0,4.0,38.0,779.0,1.0,0.0
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.01886756,0,CUST000012,Mass,0.0,0,Spain,0,0.0,497.0,3.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.042912688,0,CUST000013,Affluent,54.0,M,Bangalore,BR002,1489302.0,686.0,109.0,1.0,Savings,1.0,Net_Banking,0.0,0.0,0.0,0.0,1.0,80957.2625,25649.75623363633,55824.3,136601.24,9.666666666666666,116.0,4.166666666666667,50.0,4.916666666666667,59.0,0.5,6.0,2.0,4.25,3640.3038111888095,1.2791934084309284,0.1666666666666666,0.4090909090909091,0.0,1.0,1.0,1.0,939.0,2.0,1.0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.027741656,0,CUST000014,Mass,0.0,0,France,0,0.0,549.0,5.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.029950606,0,CUST000015,Mass,59.0,F,Delhi,BR025,428028.0,763.0,42.0,3.0,"Loan,Credit_Card,FD",1.0,Mobile,0.0,1.0,1.0,0.0,0.0,34126.989166666666,8448.924204976907,21495.17,49350.86,14.916666666666666,179.0,5.0,60.0,9.833333333333334,118.0,0.5833333333333334,7.0,1.0,8.666666666666666,-823.5066783216782,0.6521515210004903,0.0833333333333333,0.0559440559440559,2.0,0.0,3.0,24.0,792.0,1.0,0.0
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0.14787629,0,CUST000016,Affluent,0.0,0,Germany,0,0.0,616.0,3.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,143129.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0.92425185,1,CUST000017,Affluent,0.0,0,Germany,0,0.0,653.0,1.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,132602.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.029675636,0,CUST000018,HNI,57.0,M,Mumbai,BR046,3585634.0,673.0,97.0,2.0,"Insurance,Savings",0.0,Branch,0.0,0.0,0.0,1.0,1.0,204163.99083333332,82396.44474869041,102274.06,361223.08,10.5,126.0,2.6666666666666665,32.0,0.0,0.0,0.9166666666666666,11.0,2.0,5.0,20103.43625874126,1.5644409984705818,0.1666666666666666,0.0,1.0,1.0,6.0,45.0,758.0,0.0,1.0
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.5283803,1,CUST000019,Mass,0.0,0,Spain,0,0.0,587.0,6.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.02686036,0,CUST000020,HNI,59.0,F,Chennai,BR007,1822353.0,775.0,74.0,3.0,"Insurance,Demat,FD",1.0,Phone,1.0,0.0,0.0,1.0,0.0,165335.06166666668,39856.0953682643,96925.11,208958.15,15.25,183.0,5.083333333333333,61.0,7.083333333333333,85.0,0.25,3.0,1.0,8.916666666666666,-2658.06055944056,1.0349843450751957,0.0833333333333333,0.0314685314685314,1.0,0.0,2.0,6.0,688.0,3.0,0.0
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.011286229,0,CUST000021,Mass,29.0,F,Ahmedabad,BR005,422584.0,638.0,58.0,3.0,"Credit_Card,Savings,Insurance",1.0,Branch,0.0,0.0,1.0,1.0,1.0,23598.435,8701.437870296337,12194.85,38495.42,9.583333333333334,115.0,3.8333333333333335,46.0,5.25,63.0,0.5,6.0,2.0,4.25,1466.8585314685313,1.2057861910961525,0.1666666666666666,0.3951048951048951,2.0,0.0,0.0,4.0,148.0,0.0,1.0
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.048319805,0,CUST000022,Mass,0.0,0,Spain,0,0.0,636.0,8.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.3786007,0,CUST000023,Mass,0.0,0,Spain,0,0.0,510.0,4.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.052283622,0,CUST000024,Mass,52.0,F,Chennai,BR018,574409.0,812.0,50.0,1.0,Savings,0.0,Branch,0.0,0.0,0.0,0.0,1.0,32106.27666666667,15274.96616084294,11701.57,55769.21,11.416666666666666,137.0,3.0,36.0,0.0,0.0,1.75,21.0,1.0,4.416666666666667,3853.4125174825176,2.106494888826221,0.0833333333333333,0.0,2.0,0.0,2.0,17.0,939.0,0.0,1.0
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.19562003,0,CUST000025,Mass,0.0,0,France,0,0.0,846.0,5.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.016186675,0,CUST000026,Mass,0.0,0,France,0,0.0,577.0,3.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.13837066,0,CUST000027,Mass,55.0,F,Kolkata,BR041,582585.0,652.0,70.0,4.0,"Savings,Demat,Credit_Card,Insurance",0.0,Branch,0.0,0.0,1.0,1.0,0.0,54719.35916666667,10291.769522774855,37765.29,66553.89,14.333333333333334,172.0,5.333333333333333,64.0,0.0,0.0,1.5,18.0,0.0,8.416666666666666,-870.880664335664,1.0541425729264189,0.0,0.0,2.0,0.0,5.0,40.0,996.0,0.0,0.0
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.057478808,0,CUST000028,NRI,43.0,M,Mumbai,BR045,3637977.0,609.0,41.0,5.0,"Loan,FD,Savings,Current,Insurance",0.0,Branch,0.0,1.0,0.0,1.0,1.0,208785.2325,68446.64421665722,90623.63,296386.44,8.333333333333334,100.0,3.25,39.0,0.0,0.0,1.6666666666666667,20.0,3.0,4.583333333333333,16086.663461538465,1.4371165323833537,0.25,0.0,3.0,1.0,6.0,44.0,884.0,0.0,1.0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0.5682104,1,CUST000029,Affluent,0.0,0,Germany,0,0.0,574.0,3.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,141349.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0.030461328,0,CUST000030,Mass,28.0,M,Hyderabad,BR022,392201.0,666.0,61.0,1.0,Current,1.0,Net_Banking,0.0,0.0,0.0,0.0,0.0,28626.884166666667,6363.623897229482,20208.24,40594.53,13.583333333333334,163.0,4.666666666666667,56.0,7.583333333333333,91.0,0.4166666666666667,5.0,0.0,8.0,178.0250699300698,0.9329709768135612,0.0,0.0174825174825174,2.0,1.0,4.0,21.0,158.0,2.0,0.0
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.559425,1,CUST000031,Mass,30.0,F,Pune,BR018,288689.0,745.0,24.0,4.0,"Demat,Current,Loan,FD",1.0,Mobile,0.0,1.0,0.0,1.0,0.0,24639.56333333333,7191.8983937892135,14907.51,33301.0,15.166666666666666,182.0,5.0,60.0,7.833333333333333,94.0,0.3333333333333333,4.0,1.0,8.25,30.86251748251757,1.125572861040882,0.0833333333333333,-0.0489510489510489,2.0,0.0,7.0,17.0,358.0,1.0,0.0
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.13722013,0,CUST000032,Mass,40.0,M,Mumbai,BR047,308787.0,800.0,89.0,4.0,"Insurance,Current,Demat,Savings",1.0,Mobile,0.0,0.0,0.0,1.0,1.0,13895.244166666664,5140.69961280556,7410.9,23483.76,9.333333333333334,112.0,3.5,42.0,4.916666666666667,59.0,0.5,6.0,3.0,2.9166666666666665,777.3055594405595,1.1526823189926547,0.25,0.374125874125874,2.0,1.0,6.0,46.0,663.0,1.0,1.0
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0.10924328,0,CUST000033,NRI,23.0,F,Delhi,BR004,6265729.0,777.0,23.0,3.0,"Demat,Current,Insurance",1.0,Branch,0.0,0.0,0.0,1.0,0.0,513773.37916666665,130692.71722833996,343403.47,729807.89,15.666666666666666,188.0,3.583333333333333,43.0,8.916666666666666,107.0,0.5,6.0,1.0,7.666666666666667,-7710.2370979021,0.8632255012562339,0.0833333333333333,-0.4300699300699301,3.0,0.0,3.0,3.0,351.0,0.0,2.0
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.049719077,0,CUST000034,Affluent,22.0,M,Chennai,BR027,707407.0,742.0,38.0,1.0,Loan,1.0,Phone,0.0,1.0,0.0,0.0,0.0,58600.239166666666,14952.675329598109,37258.02,78365.45,14.916666666666666,179.0,5.083333333333333,61.0,7.166666666666667,86.0,0.4166666666666667,5.0,3.0,8.0,428.8153496503492,0.8244999155009416,0.25,0.1328671328671328,0.0,1.0,2.0,26.0,779.0,3.0,0.0
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.023434093,0,CUST000035,Mass,0.0,0,Spain,0,0.0,722.0,9.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,0.402505,0,CUST000036,Mass,53.0,M,Ahmedabad,BR022,203670.0,730.0,62.0,4.0,"Current,Credit_Card,Loan,Demat",1.0,Branch,0.0,1.0,1.0,1.0,1.0,10054.961666666666,3376.8173586457888,5506.23,16388.65,9.833333333333334,118.0,2.333333333333333,28.0,4.833333333333333,58.0,0.3333333333333333,4.0,2.0,4.75,774.4743356643355,1.467877886919478,0.1666666666666666,0.3006993006993008,2.0,1.0,0.0,21.0,176.0,0.0,1.0
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0.048183065,0,CUST000037,HNI,56.0,F,Kolkata,BR033,2779921.0,754.0,18.0,1.0,Insurance,0.0,Branch,0.0,0.0,0.0,1.0,0.0,228013.355,54206.35255142914,147822.14,308996.09,14.333333333333334,172.0,5.0,60.0,0.0,0.0,1.4166666666666667,17.0,1.0,8.583333333333334,2260.756993006993,1.0916898066469285,0.0833333333333333,0.0,1.0,0.0,5.0,32.0,627.0,0.0,2.0
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.03512104,0,CUST000038,Affluent,54.0,M,Delhi,BR005,768233.0,736.0,69.0,1.0,Current,1.0,Branch,0.0,0.0,0.0,0.0,0.0,63789.77416666667,16851.629308737458,43707.76,85243.91,15.083333333333334,181.0,5.833333333333333,70.0,8.833333333333334,106.0,0.5833333333333334,7.0,0.0,8.416666666666666,-82.98458041958058,0.9046055564023956,0.0,0.0069930069930069,0.0,1.0,3.0,4.0,158.0,0.0,0.0
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.052906025,0,CUST000039,Mass,0.0,0,France,0,0.0,850.0,7.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.060127605,0,CUST000040,Mass,65.0,F,Hyderabad,BR036,345591.0,759.0,82.0,4.0,"FD,Savings,Insurance,Credit_Card",1.0,Net_Banking,0.0,0.0,1.0,1.0,0.0,29404.1375,6110.746079711656,17600.49,35916.48,14.666666666666666,176.0,5.833333333333333,70.0,8.083333333333334,97.0,0.5833333333333334,7.0,1.0,7.833333333333333,-377.79891608391614,1.049319114664299,0.0833333333333333,0.2062937062937062,2.0,0.0,4.0,35.0,620.0,2.0,0.0
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.313855,0,CUST000041,Mass,0.0,0,Spain,0,0.0,472.0,4.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.7466516,1,CUST000042,Affluent,38.0,F,Mumbai,BR033,1348904.0,790.0,12.0,1.0,Savings,1.0,Branch,0.0,0.0,0.0,0.0,0.0,130704.9925,13478.366734834502,108162.61,153331.47,17.5,210.0,5.666666666666667,68.0,9.0,108.0,0.75,9.0,0.0,8.5,-68.65290209790183,0.9620622610276705,0.0,-0.0069930069930069,0.0,0.0,6.0,32.0,939.0,0.0,0.0
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0.26943642,0,CUST000043,Affluent,47.0,M,Bangalore,BR045,617006.0,835.0,81.0,1.0,Loan,1.0,Net_Banking,0.0,1.0,0.0,0.0,0.0,50785.20333333334,11764.270103418568,33893.12,65153.44,15.583333333333334,187.0,4.833333333333333,58.0,7.416666666666667,89.0,0.5833333333333334,7.0,0.0,8.166666666666666,656.1366433566434,1.023878003997583,0.0,0.2972027972027972,0.0,1.0,1.0,44.0,779.0,2.0,0.0
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.443858,0,CUST000044,Affluent,0.0,0,France,0,0.0,834.0,2.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,131394.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.16454996,0,CUST000045,Affluent,0.0,0,Spain,0,0.0,660.0,5.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,155931.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.085764974,0,CUST000046,Affluent,53.0,F,Ahmedabad,BR012,940941.0,697.0,54.0,3.0,"Demat,FD,Current",1.0,Branch,0.0,0.0,0.0,1.0,0.0,84254.58416666667,15674.348681779677,47948.08,101689.28,13.583333333333334,163.0,4.833333333333333,58.0,7.5,90.0,0.5,6.0,1.0,7.333333333333333,985.5709440559436,1.0595091799808,0.0833333333333333,0.2447552447552447,0.0,0.0,0.0,11.0,368.0,0.0,0.0
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.08907595,0,CUST000047,Mass,28.0,F,Hyderabad,BR030,324778.0,720.0,57.0,2.0,"Current,Insurance",1.0,Net_Banking,0.0,0.0,0.0,1.0,0.0,28909.4975,5457.30357007282,21564.78,35050.03,14.0,168.0,5.75,69.0,8.5,102.0,0.5833333333333334,7.0,0.0,8.25,313.2737412587412,1.0562906043886853,0.0,0.3426573426573426,2.0,0.0,4.0,29.0,236.0,2.0,0.0
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,0.4236581,0,CUST000048,Affluent,49.0,F,Ahmedabad,BR033,1491096.0,721.0,10.0,2.0,"FD,Insurance",0.0,Branch,0.0,0.0,0.0,1.0,0.0,114940.95416666666,25520.37864367664,79127.47,145552.85,16.166666666666668,194.0,4.416666666666667,53.0,0.0,0.0,1.5,18.0,0.0,8.333333333333334,-1357.1025524475515,1.044269569053475,0.0,0.0,0.0,0.0,0.0,32.0,548.0,0.0,0.0
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0.30763593,0,CUST000049,Mass,51.0,M,Delhi,BR043,311387.0,786.0,62.0,4.0,"Current,Insurance,FD,Savings",1.0,Net_Banking,0.0,0.0,0.0,1.0,0.0,27095.048333333336,5088.850367634991,18177.66,33196.21,15.25,183.0,6.75,81.0,8.333333333333334,100.0,0.5833333333333334,7.0,0.0,7.666666666666667,-805.7211188811187,0.7794627625435923,0.0,0.3356643356643357,2.0,1.0,3.0,42.0,250.0,2.0,0.0
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.08327659,0,CUST000050,Affluent,0.0,0,Germany,0,0.0,776.0,2.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,103769.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.21261674,0,CUST000051,Affluent,53.0,F,Ahmedabad,BR007,1480398.0,705.0,88.0,4.0,"Savings,FD,Loan,Current",1.0,Mobile,0.0,1.0,0.0,0.0,0.0,130089.31916666664,24736.9072646626,83671.44,164052.64,13.5,162.0,5.166666666666667,62.0,8.333333333333334,100.0,0.6666666666666666,8.0,1.0,8.5,1503.0101748251734,1.03294441911041,0.0833333333333333,0.0909090909090909,0.0,0.0,0.0,6.0,1041.0,1.0,0.0
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0.10095278,0,CUST000052,HNI,27.0,F,Kolkata,BR009,4666059.0,832.0,72.0,1.0,Insurance,1.0,Phone,1.0,0.0,0.0,1.0,0.0,407442.3625,85662.9779045796,267324.01,538466.24,16.166666666666668,194.0,4.583333333333333,55.0,10.0,120.0,0.5,6.0,1.0,7.5,7824.897237762238,1.1278156128100876,0.0833333333333333,0.4195804195804196,1.0,0.0,5.0,8.0,627.0,3.0,2.0
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.037176225,0,CUST000053,Mass,0.0,0,France,0,0.0,788.0,5.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
